"city","area","rooms","bathroom","parking","floor","animal","furniture","hoa","rent","property_tax"
"Porto Alegre",105,3,3,0,3,"yes","no",840,2125,111
"Sao Paulo",144,4,2,2,6,"yes","no",1820,4800,667
"Sao Paulo",100,1,1,0,0,"yes","no",0,1530,84
"Belo Horizonte",649,5,5,6,0,"yes","yes",0,15000,1065
"Porto Alegre",55,2,1,1,2,"yes","no",300,850,30
"Porto Alegre",68,2,2,1,2,"yes","no",400,1800,82
"Sao Paulo",265,3,3,0,0,"yes","no",0,8500,475
"Sao Paulo",96,2,1,0,9,"yes","yes",940,4387,3
"Belo Horizonte",241,5,4,3,0,"yes","no",0,5200,310
"Rio de Janeiro",65,2,1,1,8,"yes","no",610,900,88
"Campinas",71,2,1,1,3,"yes","no",670,1130,114
"Sao Paulo",90,1,1,0,1,"no","no",200,1550,167
"Sao Paulo",90,3,2,0,9,"yes","no",900,2100,84
"Campinas",42,1,1,1,9,"yes","no",460,1020,42
"Porto Alegre",109,3,1,1,5,"yes","no",500,1400,42
"Rio de Janeiro",260,4,1,2,5,"yes","yes",3800,15000,1167
"Sao Paulo",154,3,3,2,12,"yes","yes",1042,2000,0
"Belo Horizonte",55,1,1,0,0,"no","no",0,1020,21
"Sao Paulo",49,2,2,1,8,"yes","no",632,2400,55
"Sao Paulo",56,1,1,0,2,"yes","yes",0,8000,280
"Campinas",67,2,1,1,2,"yes","no",500,1230,42
"Sao Paulo",160,4,4,0,9,"yes","yes",1300,3175,787
"Porto Alegre",118,3,2,1,3,"yes","no",300,1800,50
"Belo Horizonte",47,2,1,1,6,"yes","no",350,1480,75
"Sao Paulo",132,3,4,3,2,"no","no",2137,2980,520
"Porto Alegre",47,1,1,0,20,"yes","no",280,755,27
"Campinas",60,3,2,1,13,"no","no",340,1700,120
"Sao Paulo",250,4,5,0,14,"yes","no",3392,7880,1566
"Porto Alegre",400,3,4,5,0,"yes","yes",0,8500,309
"Rio de Janeiro",28,1,1,0,4,"yes","yes",484,2200,0
"Sao Paulo",300,3,4,2,9,"yes","yes",2000,14000,1084
"Sao Paulo",78,2,1,2,9,"yes","yes",0,5900,0
"Sao Paulo",56,2,1,0,3,"yes","no",250,1800,41
"Sao Paulo",110,2,2,0,4,"yes","yes",1356,3360,248
"Sao Paulo",65,2,2,1,7,"yes","no",630,1800,25
"Belo Horizonte",59,3,1,1,1,"yes","no",100,1018,63
"Sao Paulo",20,1,1,0,1,"yes","yes",602,1800,130
"Sao Paulo",65,3,1,1,11,"yes","no",510,1800,0
"Sao Paulo",235,4,4,4,5,"yes","yes",3330,14900,1417
"Sao Paulo",137,2,3,2,1,"yes","no",2800,14000,542
"Sao Paulo",50,1,1,1,0,"no","no",0,1500,80
"Sao Paulo",120,3,1,4,0,"yes","no",0,3500,234
"Sao Paulo",80,2,1,0,0,"no","no",0,1576,125
"Rio de Janeiro",82,3,1,0,3,"no","yes",460,2700,50
"Sao Paulo",160,3,2,1,0,"yes","no",0,4700,0
"Sao Paulo",51,1,1,0,1,"yes","yes",785,2350,150
"Sao Paulo",56,2,1,0,0,"yes","no",200,1400,0
"Sao Paulo",170,3,4,0,14,"yes","yes",2200,4000,800
"Sao Paulo",300,4,5,4,19,"yes","no",3150,3800,1630
"Sao Paulo",60,2,1,1,11,"yes","yes",500,3400,23
"Rio de Janeiro",50,1,1,1,2,"yes","no",470,990,19
"Sao Paulo",250,5,6,2,0,"yes","no",0,9000,717
"Rio de Janeiro",80,2,2,2,12,"yes","no",900,935,100
"Rio de Janeiro",110,2,1,1,6,"no","no",1200,3800,250
"Belo Horizonte",430,4,5,3,0,"yes","no",0,6000,0
"Belo Horizonte",144,4,3,3,14,"no","yes",1050,4500,390
"Campinas",30,1,1,0,5,"yes","no",280,580,12
"Sao Paulo",163,2,3,2,18,"yes","yes",1464,8000,470
"Belo Horizonte",80,2,2,2,9,"yes","no",400,2600,113
"Sao Paulo",300,5,4,7,0,"yes","no",0,15000,2292
"Belo Horizonte",544,4,3,7,0,"yes","no",0,3200,250
"Belo Horizonte",95,3,2,2,4,"no","no",666,1800,134
"Porto Alegre",65,2,1,0,1,"yes","no",355,1030,24
"Belo Horizonte",305,4,5,5,26,"yes","no",5071,14000,2241
"Belo Horizonte",103,2,2,2,1,"no","no",400,1200,100
"Sao Paulo",135,3,2,2,3,"yes","no",1650,2300,775
"Sao Paulo",200,3,4,2,13,"yes","no",1900,7000,677
"Rio de Janeiro",47,2,2,1,12,"yes","no",500,1000,40
"Rio de Janeiro",35,1,1,0,3,"yes","no",310,700,80
"Campinas",44,2,1,1,2,"yes","no",244,1000,0
"Sao Paulo",82,2,1,1,5,"yes","no",860,3400,0
"Sao Paulo",50,1,1,1,0,"no","no",0,900,21
"Belo Horizonte",360,4,3,3,0,"yes","no",0,3300,171
"Porto Alegre",95,3,2,2,2,"yes","no",350,2500,71
"Sao Paulo",83,2,3,2,8,"yes","no",1555,3200,735
"Sao Paulo",60,1,1,1,6,"yes","no",683,2100,0
"Sao Paulo",122,3,2,1,9,"yes","no",1766,5800,279
"Sao Paulo",150,3,4,4,14,"yes","no",1076,7925,651
"Campinas",450,5,4,8,0,"yes","no",0,3460,400
"Porto Alegre",58,2,1,1,4,"yes","no",350,1000,47
"Sao Paulo",380,4,2,4,0,"yes","no",0,4600,700
"Belo Horizonte",430,4,5,3,7,"yes","no",1945,8000,528
"Porto Alegre",280,3,5,2,3,"yes","yes",729,5280,500
"Belo Horizonte",580,5,6,5,0,"no","no",0,15000,1153
"Porto Alegre",98,2,2,0,2,"yes","no",310,1100,38
"Sao Paulo",40,1,1,1,2,"no","no",225,1080,65
"Rio de Janeiro",50,2,1,1,2,"no","yes",328,2300,0
"Sao Paulo",40,1,1,1,11,"yes","yes",1233,4065,202
"Rio de Janeiro",75,4,4,1,9,"no","yes",700,4500,0
"Rio de Janeiro",72,1,1,1,1,"yes","no",957,3500,239
"Sao Paulo",429,5,4,6,0,"yes","no",0,12750,2312
"Sao Paulo",380,4,2,0,0,"yes","no",0,8000,0
"Belo Horizonte",72,3,1,1,3,"no","no",300,900,86
"Sao Paulo",114,3,3,0,0,"yes","no",150,2600,171
"Sao Paulo",100,3,2,4,0,"yes","no",0,3880,255
"Sao Paulo",120,4,2,2,11,"yes","no",1630,4000,464
"Sao Paulo",100,3,3,2,6,"yes","no",1250,5500,250
"Porto Alegre",170,2,3,2,0,"yes","no",0,6500,292
"Sao Paulo",62,1,2,1,4,"yes","yes",2400,12000,350
"Sao Paulo",62,2,2,1,5,"yes","no",510,2500,158
"Sao Paulo",94,2,3,2,18,"no","no",1600,4400,325
"Rio de Janeiro",144,3,2,1,7,"yes","yes",1500,8200,622
"Campinas",68,2,1,2,1,"yes","no",520,1200,74
"Porto Alegre",42,1,1,0,5,"no","yes",290,2200,66
"Porto Alegre",84,3,1,0,3,"yes","yes",70,1460,44
"Sao Paulo",165,3,4,4,15,"yes","no",2000,10000,799
"Sao Paulo",50,2,1,1,9,"yes","no",390,1072,0
"Porto Alegre",65,2,1,1,3,"no","yes",400,1750,100
"Campinas",52,1,1,1,8,"no","yes",1000,2300,50
"Sao Paulo",136,3,3,2,12,"yes","no",738,3400,115
"Belo Horizonte",75,2,1,1,3,"no","no",200,1100,62
"Sao Paulo",212,3,5,3,7,"yes","no",2300,7000,1084
"Sao Paulo",70,2,1,1,1,"yes","no",580,1400,52
"Sao Paulo",57,2,1,1,5,"yes","yes",550,2300,63
"Sao Paulo",128,2,3,3,9,"yes","no",2000,3900,500
"Sao Paulo",62,2,2,1,1,"no","no",0,2350,0
"Sao Paulo",140,3,3,2,0,"yes","no",0,3800,200
"Sao Paulo",55,2,1,1,14,"yes","no",420,1399,0
"Sao Paulo",130,3,2,1,8,"yes","no",2400,5500,209
"Sao Paulo",82,3,2,2,4,"no","no",860,2600,209
"Sao Paulo",100,3,2,1,5,"yes","no",1221,1200,38
"Sao Paulo",122,2,2,2,10,"yes","no",1761,3950,640
"Porto Alegre",87,2,1,0,2,"yes","no",300,1300,64
"Belo Horizonte",70,2,1,2,4,"yes","no",290,780,0
"Rio de Janeiro",123,3,2,1,1,"yes","no",2800,3700,237
"Porto Alegre",91,3,2,2,3,"yes","no",400,3390,150
"Sao Paulo",50,1,1,0,4,"yes","no",100,1100,0
"Sao Paulo",189,4,3,3,14,"yes","no",3300,5780,440
"Campinas",45,2,1,1,3,"yes","no",312,850,25
"Rio de Janeiro",35,1,1,0,7,"yes","yes",560,1950,50
"Sao Paulo",350,5,5,4,8,"no","no",3000,7200,1417
"Belo Horizonte",73,1,1,0,13,"no","no",744,1460,142
"Sao Paulo",35,2,1,1,0,"yes","no",125,2100,0
"Sao Paulo",685,4,3,5,11,"yes","no",3960,13000,3120
"Sao Paulo",140,5,2,1,1,"yes","yes",0,3999,200
"Sao Paulo",78,3,3,2,10,"yes","no",639,2800,117
"Sao Paulo",200,6,4,2,0,"yes","no",0,5600,4710
"Porto Alegre",102,2,2,1,11,"yes","yes",1900,3000,259
"Campinas",48,2,1,1,5,"yes","no",263,1000,66
"Sao Paulo",84,3,2,1,3,"no","yes",741,2175,185
"Sao Paulo",80,2,1,1,0,"yes","no",30,1300,40
"Sao Paulo",391,4,5,2,15,"yes","no",2900,10000,1999
"Sao Paulo",227,4,4,3,7,"no","yes",2000,15000,750
"Sao Paulo",180,3,3,4,27,"yes","no",1800,6500,859
"Belo Horizonte",178,4,4,4,1,"yes","no",1200,3900,409
"Sao Paulo",105,1,1,2,29,"no","no",1300,8700,417
"Sao Paulo",26,1,1,0,4,"yes","yes",400,4300,60
"Sao Paulo",200,2,3,1,10,"yes","no",1750,4500,0
"Belo Horizonte",78,2,2,2,3,"yes","no",150,1300,100
"Sao Paulo",309,4,5,3,0,"yes","no",0,12000,734
"Porto Alegre",66,3,2,1,11,"yes","no",400,1500,40
"Rio de Janeiro",20,1,1,0,11,"no","yes",0,1650,0
"Campinas",35,1,1,1,13,"yes","no",475,750,32
"Sao Paulo",130,2,4,3,2,"yes","no",1800,6000,667
"Sao Paulo",120,3,1,0,1,"yes","no",0,1210,207
"Rio de Janeiro",75,2,2,0,1,"no","no",670,2200,59
"Sao Paulo",120,3,3,2,23,"no","no",1500,7300,400
"Rio de Janeiro",65,2,1,1,1,"yes","yes",0,1530,0
"Sao Paulo",62,3,1,2,1,"yes","no",750,1400,156
"Sao Paulo",129,3,4,2,8,"yes","no",1800,3000,600
"Sao Paulo",70,2,2,4,0,"yes","no",0,3000,190
"Rio de Janeiro",38,1,1,0,12,"no","no",600,1700,82
"Porto Alegre",120,3,3,3,7,"yes","no",800,5000,0
"Sao Paulo",180,2,3,2,0,"yes","no",0,3150,301
"Sao Paulo",82,1,1,2,1,"yes","no",1650,8000,267
"Belo Horizonte",58,2,2,2,7,"yes","no",304,1400,100
"Sao Paulo",52,2,1,1,3,"no","no",450,2400,78
"Sao Paulo",67,2,1,0,3,"yes","no",385,1300,56
"Belo Horizonte",100,3,1,1,2,"yes","no",0,2900,301
"Sao Paulo",570,4,5,4,14,"yes","no",3800,10870,2016
"Sao Paulo",54,2,1,1,1,"yes","no",280,2200,0
"Campinas",150,4,2,0,0,"yes","no",0,2500,184
"Sao Paulo",32,1,1,1,11,"yes","yes",652,3870,42
"Sao Paulo",127,3,2,2,1,"yes","no",0,5000,250
"Porto Alegre",58,2,1,1,0,"yes","no",170,800,24
"Sao Paulo",230,3,2,2,0,"yes","yes",0,4590,309
"Sao Paulo",60,1,1,0,0,"no","no",0,1600,192
"Porto Alegre",60,1,1,0,2,"no","yes",100,1170,0
"Sao Paulo",245,3,5,4,13,"yes","yes",2450,11500,1584
"Sao Paulo",180,3,2,2,2,"yes","no",2500,7000,1200
"Porto Alegre",42,1,1,1,2,"yes","no",280,900,19
"Porto Alegre",41,1,1,0,5,"yes","yes",300,1090,84
"Belo Horizonte",800,4,4,3,0,"yes","no",0,8000,834
"Belo Horizonte",700,7,6,5,0,"yes","no",0,15000,1161
"Sao Paulo",140,3,3,2,0,"yes","no",0,2300,0
"Porto Alegre",222,4,3,2,13,"yes","no",2300,4000,200
"Porto Alegre",122,3,3,2,2,"yes","no",600,2500,149
"Rio de Janeiro",62,1,1,0,7,"no","yes",943,2700,156
"Sao Paulo",107,2,2,0,6,"no","no",799,3150,0
"Rio de Janeiro",40,1,1,0,4,"yes","yes",510,1360,1
"Campinas",72,3,1,1,1,"yes","yes",470,1075,49
"Belo Horizonte",400,4,6,4,15,"yes","no",1840,6000,668
"Sao Paulo",84,2,3,2,25,"yes","yes",634,6900,165
"Belo Horizonte",80,3,2,2,11,"yes","no",700,1800,167
"Sao Paulo",90,2,2,0,0,"yes","no",0,1750,0
"Belo Horizonte",413,4,4,0,1,"yes","no",2314,7900,692
"Sao Paulo",120,4,4,1,0,"yes","no",0,4500,67
"Belo Horizonte",66,2,1,1,3,"yes","no",200,1000,25
"Rio de Janeiro",140,3,2,1,22,"no","no",732,3000,305
"Belo Horizonte",190,4,2,2,4,"yes","no",970,3500,287
"Sao Paulo",325,5,5,4,0,"yes","no",0,6000,420
"Rio de Janeiro",60,2,2,0,15,"yes","yes",1640,2300,205
"Sao Paulo",310,4,4,3,0,"yes","no",0,7000,675
"Sao Paulo",100,2,2,2,6,"yes","yes",1700,6500,42
"Campinas",120,2,1,0,3,"yes","no",830,1100,95
"Belo Horizonte",52,2,1,1,4,"no","no",180,730,0
"Sao Paulo",52,2,1,1,17,"yes","no",540,1100,45
"Campinas",115,3,3,1,5,"yes","no",1035,1900,30
"Rio de Janeiro",47,1,1,1,5,"yes","no",390,1000,0
"Sao Paulo",66,2,1,1,8,"no","no",530,1780,0
"Sao Paulo",100,2,1,2,0,"yes","no",0,1650,0
"Porto Alegre",55,2,1,1,2,"yes","no",300,1319,75
"Sao Paulo",200,3,4,3,20,"no","yes",2450,12000,1261
"Campinas",51,2,1,1,1,"no","no",390,800,50
"Sao Paulo",140,3,3,2,6,"yes","no",2420,2580,1000
"Belo Horizonte",200,4,4,3,4,"yes","no",1200,4200,580
"Porto Alegre",30,2,2,1,1,"yes","no",250,1275,50
"Belo Horizonte",87,3,2,2,11,"yes","no",700,3500,125
"Porto Alegre",100,3,2,1,6,"yes","no",1374,1800,211
"Sao Paulo",48,1,1,1,8,"no","no",415,2000,0
"Rio de Janeiro",40,1,1,1,20,"no","no",800,1160,91
"Porto Alegre",78,2,2,1,4,"yes","no",700,2300,105
"Sao Paulo",200,3,4,3,5,"yes","yes",3249,5500,843
"Belo Horizonte",234,3,3,3,0,"yes","no",0,8200,340
"Rio de Janeiro",136,3,1,0,8,"yes","yes",2000,3000,0
"Sao Paulo",250,3,4,4,18,"yes","no",2200,3300,852
"Rio de Janeiro",125,3,2,1,8,"no","yes",1164,3000,250
"Sao Paulo",86,2,1,0,0,"yes","no",0,1387,130
"Porto Alegre",62,2,1,0,8,"yes","no",504,1100,32
"Sao Paulo",120,3,2,2,0,"yes","no",0,3110,111
"Campinas",61,1,1,0,8,"yes","yes",378,1900,43
"Porto Alegre",160,3,2,1,5,"yes","no",1200,2500,170
"Campinas",64,1,1,0,3,"yes","no",680,1100,50
"Rio de Janeiro",70,3,2,1,7,"yes","no",1292,2100,94
"Campinas",258,2,2,1,0,"yes","no",0,1400,67
"Belo Horizonte",163,4,3,2,2,"yes","no",300,2300,136
"Sao Paulo",360,4,5,4,8,"yes","no",3500,1700,1417
"Rio de Janeiro",90,2,2,1,2,"no","no",1389,3973,422
"Sao Paulo",50,1,1,0,0,"yes","no",0,1100,0
"Rio de Janeiro",264,4,4,1,2,"no","yes",3200,7000,1067
"Rio de Janeiro",70,2,1,0,5,"yes","no",950,2500,199
"Sao Paulo",126,2,2,1,8,"no","no",889,3120,204
"Sao Paulo",35,1,1,1,14,"no","no",450,2700,0
"Porto Alegre",98,2,2,1,2,"yes","no",465,1300,54
"Rio de Janeiro",47,2,1,1,4,"yes","no",466,1375,0
"Sao Paulo",70,3,2,1,3,"yes","no",758,2000,109
"Porto Alegre",85,3,3,0,0,"no","no",550,2500,72
"Rio de Janeiro",90,2,2,1,4,"yes","no",1200,3800,253
"Sao Paulo",250,3,4,3,8,"yes","no",2850,9000,834
"Rio de Janeiro",160,4,2,0,0,"yes","no",0,6800,142
"Sao Paulo",97,2,3,2,15,"yes","no",768,3300,243
"Rio de Janeiro",66,2,1,1,3,"yes","no",477,1100,44
"Sao Paulo",78,3,2,2,1,"yes","no",780,1540,230
"Sao Paulo",248,3,4,3,10,"yes","no",2200,6000,742
"Sao Paulo",163,3,2,1,1,"yes","no",1100,4000,84
"Sao Paulo",332,5,4,3,17,"yes","no",3200,15000,1167
"Sao Paulo",30,1,1,1,10,"yes","yes",730,1850,70
"Rio de Janeiro",172,3,3,3,3,"yes","no",2000,5000,800
"Belo Horizonte",100,3,2,0,0,"yes","no",0,1550,125
"Sao Paulo",260,4,4,2,0,"yes","no",0,5200,184
"Sao Paulo",432,5,7,6,21,"yes","no",3208,15000,3007
"Sao Paulo",46,2,1,1,5,"no","no",600,1180,25
"Sao Paulo",999,5,7,4,0,"no","no",100,15000,459
"Belo Horizonte",274,6,6,2,0,"yes","no",0,9000,671
"Belo Horizonte",210,4,4,2,1,"no","no",1500,4200,283
"Sao Paulo",400,4,5,4,0,"yes","no",3413,11000,2028
"Sao Paulo",110,3,2,1,7,"yes","no",1200,1200,350
"Sao Paulo",160,3,2,2,0,"no","no",0,3500,250
"Rio de Janeiro",95,3,2,2,3,"yes","no",1200,5800,430
"Sao Paulo",38,1,1,0,16,"no","no",188,2001,0
"Sao Paulo",220,4,3,3,20,"yes","yes",2080,5500,1092
"Belo Horizonte",396,4,5,6,0,"yes","no",0,10000,250
"Sao Paulo",360,4,7,5,2,"yes","no",3900,3990,2505
"Rio de Janeiro",25,1,1,0,4,"yes","yes",659,1910,0
"Sao Paulo",120,3,2,8,0,"yes","no",0,3000,386
"Sao Paulo",556,6,7,4,0,"yes","no",0,7500,1084
"Belo Horizonte",100,3,1,1,0,"yes","no",0,1970,92
"Campinas",55,2,1,1,2,"yes","no",235,700,0
"Rio de Janeiro",60,2,1,0,1,"no","no",500,2000,57
"Sao Paulo",70,3,1,2,1,"no","yes",882,3200,140
"Sao Paulo",52,2,1,1,7,"yes","no",616,1200,65
"Rio de Janeiro",110,3,2,1,4,"no","no",788,2500,140
"Sao Paulo",53,2,1,1,8,"yes","no",571,1800,22
"Sao Paulo",188,1,3,2,10,"no","no",1180,8000,550
"Porto Alegre",121,3,2,1,10,"yes","no",800,1900,200
"Sao Paulo",80,1,1,1,0,"no","no",0,1300,84
"Belo Horizonte",160,4,2,2,3,"yes","no",700,2700,305
"Sao Paulo",70,2,1,0,0,"yes","no",0,1350,0
"Campinas",53,2,2,1,0,"yes","yes",443,1900,54
"Rio de Janeiro",320,3,6,3,9,"yes","no",2000,6490,900
"Rio de Janeiro",96,2,2,2,7,"yes","yes",1320,7500,434
"Sao Paulo",35,1,1,1,7,"yes","no",430,2100,0
"Campinas",375,4,5,0,0,"yes","no",1200,10000,825
"Sao Paulo",60,2,1,0,0,"yes","no",0,1700,245
"Belo Horizonte",100,7,2,1,0,"yes","no",0,2800,28
"Rio de Janeiro",82,2,1,0,0,"yes","yes",0,4950,59
"Sao Paulo",57,1,1,0,9,"yes","yes",300,6000,17
"Sao Paulo",485,5,6,6,23,"yes","no",5709,13000,2495
"Sao Paulo",61,1,2,1,14,"no","no",444,1930,87
"Rio de Janeiro",28,1,1,0,8,"yes","no",453,1009,0
"Sao Paulo",130,3,2,1,8,"no","yes",1200,7500,417
"Porto Alegre",119,3,1,0,3,"yes","no",560,2100,84
"Sao Paulo",123,3,1,1,6,"no","no",2000,3800,348
"Campinas",96,2,1,1,3,"yes","yes",671,1800,52
"Rio de Janeiro",120,3,2,2,4,"yes","no",1950,5500,250
"Rio de Janeiro",89,3,1,1,7,"yes","no",1100,2000,90
"Sao Paulo",190,3,3,2,10,"no","no",2800,9000,888
"Belo Horizonte",402,4,4,4,0,"yes","yes",0,7500,483
"Rio de Janeiro",40,1,1,0,1,"yes","no",379,1180,0
"Sao Paulo",210,4,3,3,11,"yes","no",1250,4000,750
"Sao Paulo",77,2,2,1,8,"yes","no",840,3170,34
"Belo Horizonte",65,3,1,1,3,"no","no",245,900,69
"Sao Paulo",160,3,4,3,0,"yes","no",0,2770,475
"Rio de Janeiro",80,2,3,1,15,"yes","yes",602,3100,240
"Porto Alegre",110,3,2,0,3,"no","yes",370,2070,100
"Porto Alegre",132,3,2,2,9,"yes","yes",1000,3350,167
"Belo Horizonte",90,3,2,2,2,"yes","no",650,3500,325
"Porto Alegre",50,2,1,1,2,"yes","no",100,1540,0
"Sao Paulo",55,3,1,1,7,"yes","yes",600,1800,121
"Sao Paulo",40,1,1,0,6,"yes","no",600,3480,142
"Rio de Janeiro",38,2,2,1,10,"yes","no",1450,3200,200
"Sao Paulo",50,2,1,1,0,"yes","no",510,1100,50
"Sao Paulo",136,3,3,1,9,"yes","no",1530,7500,290
"Rio de Janeiro",140,3,2,2,4,"yes","no",1450,2700,169
"Rio de Janeiro",150,4,2,2,2,"yes","no",2900,9000,834
"Belo Horizonte",65,2,2,1,4,"yes","no",255,1400,81
"Sao Paulo",41,3,2,1,1,"no","yes",0,6500,0
"Sao Paulo",180,3,3,1,0,"yes","yes",1785,6000,294
"Porto Alegre",425,4,4,0,0,"yes","no",0,15000,750
"Porto Alegre",70,2,1,1,3,"yes","yes",450,1800,63
"Sao Paulo",460,6,6,4,0,"yes","no",0,6500,109
"Rio de Janeiro",70,2,2,1,11,"no","yes",2800,6000,835
"Sao Paulo",25,1,1,0,23,"yes","no",432,2200,45
"Sao Paulo",274,4,5,6,0,"yes","no",0,11000,767
"Sao Paulo",42,1,1,2,6,"yes","yes",595,3380,0
"Porto Alegre",64,2,1,1,4,"yes","no",600,980,34
"Rio de Janeiro",31,1,1,0,5,"yes","no",400,1350,67
"Sao Paulo",74,2,1,0,2,"yes","no",589,2850,0
"Sao Paulo",110,2,3,3,1,"no","no",1600,1890,0
"Belo Horizonte",91,2,3,1,9,"yes","yes",853,2350,221
"Porto Alegre",85,2,3,1,4,"yes","no",350,3000,125
"Sao Paulo",42,1,1,1,13,"no","no",704,3000,192
"Porto Alegre",359,3,4,2,3,"yes","no",2300,7000,292
"Porto Alegre",89,2,1,0,4,"no","no",340,1190,0
"Sao Paulo",50,1,1,0,0,"no","no",0,750,0
"Sao Paulo",43,1,1,0,4,"yes","no",300,1600,17
"Sao Paulo",40,1,1,1,4,"no","yes",620,5000,184
"Campinas",42,1,1,1,13,"yes","no",470,1750,75
"Rio de Janeiro",143,3,2,1,0,"yes","no",750,2058,84
"Porto Alegre",140,3,1,1,11,"yes","yes",1000,4445,166
"Sao Paulo",60,1,1,1,3,"yes","no",252,750,9
"Rio de Janeiro",121,1,1,0,1,"yes","no",2000,6800,300
"Porto Alegre",148,3,2,2,3,"yes","yes",2200,3990,167
"Rio de Janeiro",130,4,3,0,2,"yes","yes",750,9900,141
"Rio de Janeiro",85,3,2,1,17,"yes","no",1100,4170,225
"Sao Paulo",40,1,1,0,0,"no","no",0,900,25
"Rio de Janeiro",53,2,1,1,4,"yes","yes",365,1239,0
"Sao Paulo",80,3,2,2,4,"yes","no",690,2650,92
"Sao Paulo",77,3,3,2,0,"yes","no",223,2400,70
"Sao Paulo",103,3,2,2,4,"yes","yes",1100,7550,209
"Porto Alegre",78,2,2,0,7,"yes","no",450,1500,167
"Sao Paulo",158,3,4,2,2,"yes","no",1361,2750,142
"Sao Paulo",300,4,4,3,0,"yes","no",2150,13100,1500
"Rio de Janeiro",65,2,1,1,16,"yes","no",560,1000,125
"Sao Paulo",58,2,2,1,6,"no","no",520,2055,0
"Sao Paulo",250,3,4,0,6,"yes","no",3500,5000,1334
"Sao Paulo",440,4,4,4,11,"yes","yes",4985,10200,2849
"Porto Alegre",39,1,1,1,12,"yes","no",500,2200,50
"Porto Alegre",45,2,2,0,0,"no","no",0,1300,0
"Belo Horizonte",200,4,3,3,7,"yes","yes",1350,7900,700
"Porto Alegre",40,1,1,0,2,"yes","yes",180,1250,6
"Belo Horizonte",75,2,1,1,4,"yes","no",380,849,71
"Campinas",85,2,2,1,4,"yes","no",675,1310,79
"Rio de Janeiro",57,2,1,1,3,"yes","no",430,1000,43
"Sao Paulo",60,3,1,0,1,"no","no",565,1950,109
"Campinas",46,2,1,1,5,"yes","no",380,850,18
"Belo Horizonte",57,2,2,1,4,"yes","no",180,1460,125
"Sao Paulo",102,3,2,2,5,"yes","no",1250,4200,250
"Sao Paulo",61,2,2,1,5,"yes","no",650,2300,21
"Rio de Janeiro",29,1,1,0,12,"yes","yes",580,1770,83
"Sao Paulo",280,3,3,2,0,"yes","no",0,8000,600
"Sao Paulo",210,3,3,4,1,"yes","no",3100,6500,1400
"Sao Paulo",130,3,3,3,0,"yes","no",0,4000,146
"Porto Alegre",45,1,1,0,11,"yes","no",750,900,658
"Belo Horizonte",45,1,1,1,6,"yes","no",757,2900,9
"Rio de Janeiro",40,1,1,0,8,"yes","yes",450,2000,50
"Sao Paulo",175,1,1,2,0,"yes","no",0,1600,167
"Sao Paulo",750,4,5,8,0,"yes","no",0,15000,4338
"Sao Paulo",60,2,3,2,5,"no","no",730,1200,182
"Sao Paulo",86,2,1,1,11,"no","no",1105,3800,155
"Porto Alegre",75,2,2,2,6,"yes","no",556,2200,95
"Porto Alegre",281,4,3,4,0,"yes","yes",0,4950,442
"Porto Alegre",70,2,2,1,2,"yes","no",400,2200,92
"Rio de Janeiro",280,3,3,2,2,"yes","yes",6500,8000,1680
"Sao Paulo",30,1,1,0,2,"yes","no",0,1850,0
"Campinas",100,2,2,1,11,"yes","no",0,2000,0
"Sao Paulo",271,3,2,2,0,"yes","no",0,4800,646
"Sao Paulo",123,3,3,2,3,"no","yes",1527,3400,334
"Sao Paulo",59,2,2,0,10,"yes","yes",380,3900,143
"Sao Paulo",130,2,3,3,0,"yes","no",0,1830,0
"Porto Alegre",58,1,1,1,2,"yes","no",273,1200,27
"Sao Paulo",42,1,1,1,9,"yes","no",500,2325,128
"Sao Paulo",168,3,2,4,0,"no","no",600,3500,317
"Sao Paulo",430,4,7,6,0,"yes","no",0,7990,300
"Rio de Janeiro",90,3,2,1,17,"yes","no",830,980,120
"Rio de Janeiro",36,1,1,0,8,"yes","yes",450,2000,0
"Rio de Janeiro",45,1,1,1,5,"yes","yes",1050,2700,196
"Belo Horizonte",73,3,1,1,3,"yes","no",707,1400,121
"Sao Paulo",38,1,1,0,2,"no","no",60,950,0
"Sao Paulo",95,3,2,1,7,"yes","no",850,2300,0
"Campinas",60,1,1,1,1,"yes","yes",665,1700,37
"Belo Horizonte",60,2,1,1,6,"no","no",200,2000,66
"Sao Paulo",44,1,1,1,1,"no","yes",590,2000,29
"Porto Alegre",39,1,1,1,1,"no","yes",185,900,27
"Campinas",30,1,1,0,2,"no","no",70,1100,9
"Sao Paulo",250,3,3,2,0,"no","no",0,3700,459
"Sao Paulo",170,3,3,3,0,"yes","no",0,3500,209
"Sao Paulo",65,2,1,0,0,"yes","no",0,1800,167
"Sao Paulo",320,3,3,4,0,"yes","no",1700,4320,142
"Sao Paulo",60,2,1,3,0,"yes","no",0,2200,188
"Porto Alegre",100,3,1,0,3,"yes","yes",250,1870,59
"Sao Paulo",100,2,2,2,0,"yes","no",1750,2800,450
"Sao Paulo",45,2,1,0,2,"yes","no",60,900,42
"Sao Paulo",270,5,7,2,0,"yes","no",0,3978,89
"Rio de Janeiro",90,3,2,1,10,"no","yes",1500,3500,350
"Campinas",51,2,1,2,13,"no","no",457,1850,56
"Sao Paulo",72,2,2,1,1,"yes","no",0,1760,30
"Rio de Janeiro",45,1,1,1,2,"no","yes",50,2000,50
